Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	1.515704	1.923212	43.474000	43.920000	
0.100000	1.056811	1.074223	62.022000	63.690000	
0.100000	0.854330	0.982378	69.928000	67.710000	
0.100000	0.732515	0.869942	74.760000	71.910000	
0.100000	0.652294	0.862472	77.572000	72.820000	
0.100000	0.602093	0.788674	79.196000	73.860000	
0.100000	0.561249	0.742589	80.700000	76.370000	
0.100000	0.527399	0.966319	81.754000	70.090000	
0.100000	0.503948	0.660344	82.704000	78.640000	
0.100000	0.480436	0.711606	83.306000	77.420000	
0.100000	0.459320	0.628985	84.264000	79.140000	
0.100000	0.443147	0.588382	84.582000	80.300000	
0.100000	0.430021	0.485988	85.074000	83.500000	
0.100000	0.414043	0.509210	85.680000	83.590000	
0.100000	0.403620	0.522760	86.030000	83.440000	
0.100000	0.396205	0.570503	86.370000	80.920000	
0.100000	0.380218	0.518925	86.730000	83.540000	
0.100000	0.380692	0.519237	86.836000	82.940000	
0.100000	0.369985	0.535233	87.126000	82.680000	
0.100000	0.357483	0.584218	87.576000	81.780000	
0.100000	0.352584	0.624273	87.742000	80.400000	
0.100000	0.350057	0.484012	87.824000	83.780000	
0.100000	0.342961	0.456191	88.016000	84.580000	
0.100000	0.332102	0.452654	88.428000	85.490000	
0.100000	0.324986	0.442973	88.732000	85.150000	
0.100000	0.329400	0.446496	88.564000	84.890000	
0.100000	0.315483	0.590692	89.024000	81.500000	
0.100000	0.312005	0.548000	89.230000	83.160000	
0.100000	0.311007	0.429387	89.174000	85.860000	
0.100000	0.305064	0.469236	89.370000	85.350000	
0.100000	0.308311	0.545909	89.300000	83.100000	
0.100000	0.300690	0.457105	89.586000	85.510000	
0.100000	0.298878	0.418396	89.480000	86.630000	
0.100000	0.294145	0.439909	89.776000	85.540000	
0.100000	0.286979	0.494016	90.030000	84.600000	
0.100000	0.289190	0.498986	89.726000	83.730000	
0.100000	0.285188	0.496802	89.978000	84.960000	
0.100000	0.276723	0.487073	90.414000	85.300000	
0.100000	0.280687	0.627652	90.246000	81.260000	
0.100000	0.277822	0.812541	90.372000	77.100000	
0.100000	0.280531	0.410510	90.104000	87.170000	
